country,started_working_from_home,working_from_home,optimistic_strongly_agree,optimistic_agree,total_optimism,day_filled_with_interest,unemployed_perm,unemployed_temp,total_unemployed
Ireland,43.40,43.40,13.90,45.40,59.30,30.30,2.90,28.70,31.60
Spain,30.20,30.20,6.60,34.60,41.20,30.50,6.30,24.40,30.70
France,37.20,37.20,7.70,25.90,33.60,28.30,4.40,25.40,29.80
Belgium,53.40,53.40,7.90,31.90,39.70,30.10,2.60,16.20,18.80
Germany,36.90,36.90,10.00,42.90,52.80,25.00,5.10,20.40,25.40
Estonia,36.10,36.10,11.80,47.20,59.00,25.90,3.00,15.60,18.60
Italy,40.80,40.80,5.00,31.80,36.80,23.60,4.70,29.70,34.30
Poland,31.60,31.60,8.90,32.00,40.90,31.20,8.80,21.50,30.20
Portugal,38.30,38.30,4.40,34.50,38.90,26.00,7.30,21.90,29.30
Netherlands*,53.90,53.90,13.10,41.10,54.20,44.00,4.20,11.20,15.40
Sweden*,41.80,41.80,20.50,47.50,67.90,31.40,2.10,8.80,10.90
Malta*,35.40,35.40,12.70,44.10,56.80,25.90,8.90,19.10,28.00
Romania,18.40,18.40,12.20,37.50,49.70,24.90,5.10,33.60,38.70
Austria,41.50,41.50,12.40,46.10,58.60,32.50,4.20,13.70,17.90
Lithuania,36.80,36.80,13.70,40.50,54.20,33.80,6.10,18.20,24.30
Slovakia,30.90,30.90,8.70,40.50,49.20,37.00,4.90,17.30,22.20
Greece,26.00,26.00,4.00,27.40,31.40,25.60,4.70,41.80,46.50
Luxembourg,56.80,56.80,11.60,47.80,59.40,30.50,3.40,11.20,14.50
Latvia*,31.60,31.60,11.50,43.50,55.10,38.10,3.40,19.10,22.50
Bulgaria,28.80,28.80,12.90,35.90,48.90,28.40,10.60,26.80,37.40
Cyprus*,33.20,33.20,8.70,38.10,46.80,31.10,7.70,36.40,44.10
Hungary,28.10,28.10,6.30,37.70,44.10,34.10,8.30,16.40,24.70
Denmark,46.70,46.70,18.90,51.00,69.80,38.70,1.40,8.10,9.50
Finland,59.00,59.00,14.00,60.80,74.90,28.40,2.40,21.50,23.90
Czechia,36.50,36.50,11.60,47.00,58.60,33.90,3.20,24.90,28.00
Croatia,27.80,27.80,8.60,33.50,42.00,32.20,5.40,22.50,27.80
